Date,Open,High,Low,Close,Volume,Ticker,Return,Volatility,Volume_Zscore,Return_Zscore,Manipulation_Flag,stock,sentiment_score,risk_score,event_count,twitter_sentiment,Return_Volatility,Zscore_Product,Sentiment_Diff,Return_smooth,Volatility_smooth,Volume_Zscore_smooth,Return_Zscore_smooth,Return_roll5_mean,Return_roll5_std,Volatility_roll5_mean,Volatility_roll5_std,kmeans_cluster,dbscan_cluster,pga_anomaly,iso_anomaly_score,autoencoder_error
2018-01-02,39.98634929298193,40.48923340934084,39.774853761275736,40.47983169555664,102223600,AAPL,0.0,0.0148407015903713,-0.0925703596601189,0.0,0,AAPL,0.5,1.0,0.0,0.5,0.0,-0.0,0.0,0.0,0.0148407015903713,-0.0925703596601189,0.0,0.0,,0.0148407015903713,,-1,-1,0,,
2018-01-03,40.54327682411795,41.01796292499163,40.40933289402016,40.4727783203125,118071600,AAPL,-0.0001742441840467,0.0148407015903713,0.1948783825079817,-0.0703610913140579,0,AAPL,0.5,1.0,0.0,0.5,-2.58590593929481e-06,-0.013711855666780005,0.0,-8.712209202335e-05,0.0148407015903713,0.0511540114239314,-0.03518054565702895,-8.712209202335e-05,0.00012320924412173841,0.0148407015903713,0.0,0,0,0,-0.34732052767090676,0.0017474145790533412
2018-01-04,40.54562274822063,40.76416773683325,40.43752815722298,40.660770416259766,89738400,AAPL,0.0046449021725032,0.0148407015903713,-0.3190251196119848,0.1711439512289662,0,AAPL,0.5,1.0,0.0,0.5,6.893360705858736e-05,-0.05459921951168864,0.0,0.0014902193294855,0.0148407015903713,-0.07223903225470733,0.033594286638302766,0.0014902193294855,0.002733424251546255,0.0148407015903713,0.0,0,0,0,-0.35257936588829447,0.001273544325935118
2018-01-05,40.75713782259662,41.21067204985768,40.665490805467456,41.12372589111328,94640000,AAPL,0.0113858018457118,0.0148407015903713,-0.2301206045557529,0.5089550783269899,0,AAPL,0.5,1.0,0.0,0.5,0.0001689732875593076,-0.1171210503163275,0.0,0.005285486611389434,0.0148407015903713,-0.11808911388658534,0.20324597941396608,0.003964114958542075,0.005427864260138454,0.0148407015903713,0.0,0,0,0,-0.3509963220586877,0.001279263179252566
2018-01-08,40.97098159790039,41.26707113013924,40.87228150144981,40.97098159790039,82271200,AAPL,-0.0037142620203559,0.0148407015903713,-0.4544641180671616,-0.2477643272624585,0,AAPL,0.5,1.0,0.0,0.5,-5.5122254272551526e-05,0.1125999964778368,0.0,0.004105480665953033,0.0148407015903713,-0.33453661407829977,0.14411156743116588,0.00242843956276248,0.005821320934794813,0.0148407015903713,0.0,0,0,0,-0.3482113835380598,0.0005628799499704496
2018-01-09,41.017976757349864,41.13782174424207,40.750085221111235,40.966278076171875,86336000,AAPL,-0.000114801294601,0.0148407015903713,-0.3807373609265195,-0.0673821908029843,0,AAPL,0.5,1.0,0.0,0.5,-1.7037317553617447e-06,0.025654917499775436,0.0,0.002518912843584967,0.0148407015903713,-0.3551073611831446,0.06460285342051574,0.00240547930384228,0.00583350728945816,0.0148407015903713,0.0,0,0,0,-0.3540794152624374,0.0005625982757766157
2018-01-10,40.69133554284617,40.959227069190455,40.653735851431975,40.95687484741211,95839600,AAPL,-0.000229535832918,0.0148407015903713,-0.208362432476951,-0.0731319579831701,0,AAPL,0.5,1.0,0.0,0.5,-3.4064728006333637e-06,0.015237952657175497,0.0,-0.0013528663826249667,0.0148407015903713,-0.34785463715687737,-0.12942615868287097,0.0023944209740680202,0.005839669281054123,0.0148407015903713,0.0,0,0,0,-0.35250941785020395,0.0005165241629976028
2018-01-11,41.027372446778855,41.23886801693427,41.00387532945304,41.18951797485352,74670800,AAPL,0.005680197239368,0.0050617495585336,-0.5923190789438925,0.2230263720290619,0,AAPL,0.5,1.0,0.0,0.5,2.875173586875475e-05,-0.13210277526045183,0.0,0.0017786200372830001,0.011581050913092068,-0.3938062907824544,0.027504074414302516,0.00260147998744098,0.005956598066731384,0.01288491118400376,0.004373280298379757,0,0,0,-0.3451761944589332,0.0013709897216026374
2018-01-12,41.401008705572366,41.67830193296904,41.2764628718352,41.61485290527344,101672400,AAPL,0.0103262905547858,0.0056589356886542,-0.1025679458970609,0.4558590940055945,0,AAPL,0.5,1.0,0.0,0.5,5.843581415189014e-05,-0.04675653089064902,0.0,0.0052589839870786,0.008520462279186366,-0.30108315243930145,0.2019178360171621,0.0023895777292557803,0.0055724347701633075,0.01104855800366034,0.0051968972234341946,0,0,0,-0.3369286910628348,0.0014732373269532833
2018-01-16,41.80519391095226,42.15533427468017,41.39160810901401,41.403358459472656,118263600,AAPL,-0.0050821865520515,0.006590845040317,0.1983608508633751,-0.3163160266259285,0,AAPL,0.5,1.0,0.0,0.5,-3.3495904030554386e-05,-0.06274471618324119,0.0,0.0036414337473674335,0.005770510095834933,-0.16550872465919275,0.12085647980290931,0.00211599282291666,0.005966663124236544,0.00939858669364948,0.004997744197780224,0,0,0,-0.3291624801871916,0.0008670459779466736
2018-01-17,41.39396122603157,42.12244000488861,41.14017227430858,42.08719253540039,137547200,AAPL,0.0165163914564345,0.0078874916485867,0.5481240111657972,0.7660676809613362,0,AAPL,0.5,1.0,0.0,0.5,0.00013027289967741583,0.41990009011300783,0.0,0.007253498486389599,0.006712424125852633,0.21463897204403715,0.30187024944700075,0.00544223137312376,0.00850705588463995,0.00800794470529256,0.003965701585248468,0,0,0,-0.31520926658893955,0.001716412351025015
2018-01-18,42.150639532127954,42.3221867851627,41.887448855050266,42.12479019165039,124773600,AAPL,0.0008933277319074,0.0073763489504876,0.3164382935384341,-0.0168611596031586,0,AAPL,0.5,1.0,0.0,0.5,6.589497077696618e-06,-0.005335516571902689,0.0,0.004109177545430133,0.007284895213130434,0.35430771852253545,0.14429683157741638,0.00566680408608884,0.008332937895455104,0.006515074177315819,0.001170063110836099,0,0,0,-0.3205992765364521,0.001104704016501193
2018-01-19,41.972037930006024,42.19998109045829,41.69004746331659,41.936790466308594,129700400,AAPL,-0.0044629237198922,0.0079418609631955,0.4057998825663114,-0.2852825021049988,0,AAPL,0.5,1.0,0.0,0.5,-3.544391967273111e-05,-0.11576760585243198,0.0,0.004315598489483233,0.007735233854089933,0.4234540624235142,0.1546413397510596,0.0036381798942368,0.009484013408967758,0.0070910964582482,0.000967050991094508,0,0,0,-0.3207493524540774,0.0011223842616813712
2018-01-22,41.66420274454242,41.77699822657557,41.499708586222475,41.59370422363281,108434400,AAPL,-0.0081810324266806,0.0090369006104865,0.0200802364944519,-0.4716105226665832,0,AAPL,0.5,1.0,0.0,0.5,-7.393117693107977e-05,-0.00947005082841706,0.0,-0.003916876138221801,0.008118370174723201,0.24743947086639914,-0.2579180614582468,-6.328470205648022e-05,0.009826555808840584,0.00776668944261466,0.0008935449630244312,0,0,0,-0.3251387279629737,0.0021330793292177476
2018-01-23,41.664204031032014,42.16708823668298,41.55140854551602,41.60310363769531,130756400,AAPL,0.0002259816536647,0.0089254379096357,0.4249534585209753,-0.050304311375852,0,AAPL,0.5,1.0,0.0,0.5,2.0169852185010787e-06,-0.02137699109768435,0.0,-0.004139324830969367,0.0086347331611059,0.2836111925272462,-0.2690657787158113,0.0009983489390867598,0.009427403746017088,0.0082336080164784,0.000718281557277413,0,0,0,-0.32807320336947826,0.0016250068484440884
2018-01-24,41.65245342158767,41.66420377297994,40.70073233007495,40.940425872802734,204420400,AAPL,-0.015928565586442,0.0100280998451222,1.7610604842069273,-0.8598677339896175,0,AAPL,0.5,1.0,0.0,0.5,-0.00015973324609041783,-1.5142790879736692,0.0,-0.007961205453152634,0.009330146121748135,0.7353647264074515,-0.4605941893440175,-0.0054906424694885405,0.006904337583055888,0.008661729655785499,0.0010304946961085368,0,0,0,-0.2897961297254171,0.0038519254522326246
