Date,Open,High,Low,Close,Volume,Ticker,Return,Volatility,Volume_Zscore,Return_Zscore,Manipulation_Flag,stock,sentiment_score,risk_score,event_count,twitter_sentiment
2018-01-02,39.98634929298193,40.48923340934084,39.774853761275736,40.47983169555664,102223600,AAPL,,,-0.0925703596601189,,0,AAPL,0.5,1.0,0.0,0.5
2018-01-03,40.54327682411795,41.01796292499163,40.40933289402016,40.4727783203125,118071600,AAPL,-0.0001742441840467,,0.1948783825079817,-0.0703610913140579,0,AAPL,0.5,1.0,0.0,0.5
2018-01-04,40.54562274822063,40.76416773683325,40.43752815722298,40.660770416259766,89738400,AAPL,0.0046449021725032,,-0.3190251196119848,0.1711439512289662,0,AAPL,0.5,1.0,0.0,0.5
2018-01-05,40.75713782259662,41.21067204985768,40.665490805467456,41.12372589111328,94640000,AAPL,0.0113858018457118,,-0.2301206045557529,0.5089550783269899,0,AAPL,0.5,1.0,0.0,0.5
2018-01-08,40.97098159790039,41.26707113013924,40.87228150144981,40.97098159790039,82271200,AAPL,-0.0037142620203559,,-0.4544641180671616,-0.2477643272624585,0,AAPL,0.5,1.0,0.0,0.5
2018-01-09,41.017976757349864,41.13782174424207,40.750085221111235,40.966278076171875,86336000,AAPL,-0.000114801294601,,-0.3807373609265195,-0.0673821908029843,0,AAPL,0.5,1.0,0.0,0.5
2018-01-10,40.69133554284617,40.959227069190455,40.653735851431975,40.95687484741211,95839600,AAPL,-0.000229535832918,,-0.208362432476951,-0.0731319579831701,0,AAPL,0.5,1.0,0.0,0.5
2018-01-11,41.027372446778855,41.23886801693427,41.00387532945304,41.18951797485352,74670800,AAPL,0.005680197239368,0.0050617495585336,-0.5923190789438925,0.2230263720290619,0,AAPL,0.5,1.0,0.0,0.5
2018-01-12,41.401008705572366,41.67830193296904,41.2764628718352,41.61485290527344,101672400,AAPL,0.0103262905547858,0.0056589356886542,-0.1025679458970609,0.4558590940055945,0,AAPL,0.5,1.0,0.0,0.5
2018-01-16,41.80519391095226,42.15533427468017,41.39160810901401,41.403358459472656,118263600,AAPL,-0.0050821865520515,0.006590845040317,0.1983608508633751,-0.3163160266259285,0,AAPL,0.5,1.0,0.0,0.5
2018-01-17,41.39396122603157,42.12244000488861,41.14017227430858,42.08719253540039,137547200,AAPL,0.0165163914564345,0.0078874916485867,0.5481240111657972,0.7660676809613362,0,AAPL,0.5,1.0,0.0,0.5
2018-01-18,42.150639532127954,42.3221867851627,41.887448855050266,42.12479019165039,124773600,AAPL,0.0008933277319074,0.0073763489504876,0.3164382935384341,-0.0168611596031586,0,AAPL,0.5,1.0,0.0,0.5
2018-01-19,41.972037930006024,42.19998109045829,41.69004746331659,41.936790466308594,129700400,AAPL,-0.0044629237198922,0.0079418609631955,0.4057998825663114,-0.2852825021049988,0,AAPL,0.5,1.0,0.0,0.5
2018-01-22,41.66420274454242,41.77699822657557,41.499708586222475,41.59370422363281,108434400,AAPL,-0.0081810324266806,0.0090369006104865,0.0200802364944519,-0.4716105226665832,0,AAPL,0.5,1.0,0.0,0.5
2018-01-23,41.664204031032014,42.16708823668298,41.55140854551602,41.60310363769531,130756400,AAPL,0.0002259816536647,0.0089254379096357,0.4249534585209753,-0.050304311375852,0,AAPL,0.5,1.0,0.0,0.5
2018-01-24,41.65245342158767,41.66420377297994,40.70073233007495,40.940425872802734,204420400,AAPL,-0.015928565586442,0.0100280998451222,1.7610604842069273,-0.8598677339896175,0,AAPL,0.5,1.0,0.0,0.5
2018-01-25,41.00857612781527,41.11197349291074,40.07330615521337,40.20960235595703,166116000,AAPL,-0.0178509016764087,0.0116509708930977,1.0663007921635277,-0.9562030234456864,0,AAPL,0.5,1.0,0.0,0.5
2018-01-26,40.41873655870212,40.41873655870212,39.962850235432136,40.3035888671875,156572000,AAPL,0.0023374145906356,0.0081833121533931,0.8931930943308453,0.0555073124144974,0,AAPL,0.5,1.0,0.0,0.5
2018-01-29,39.98635497038947,39.98635497038947,39.26022845555082,39.4693717956543,202561600,AAPL,-0.0206983322076403,0.0091082289521289,1.7273458374412745,-1.0988981774637292,0,AAPL,0.5,1.0,0.0,0.5
2018-01-30,38.89834241190866,39.33072813120874,38.70329803527017,39.23673248291016,184192800,AAPL,-0.0058941731818935,0.0089989833703358,1.3941751878238209,-0.3570076452396363,0,AAPL,0.5,1.0,0.0,0.5
2018-01-31,39.213234209267384,39.582174502407675,39.12628804991519,39.34482955932617,129915600,AAPL,0.0027549969015154,0.0101296222178279,0.4097031491813148,0.0764338886777776,0,AAPL,0.5,1.0,0.0,0.5
2018-02-01,39.28372874371465,39.624467437367045,39.187380877335194,39.42707443237305,188923200,AAPL,0.0020903603845292,0.0103987449479918,1.4799745019298267,0.0431265229256993,0,AAPL,0.5,2.0,2.0,0.5
2018-02-02,39.00878354842047,39.19677840314394,37.62232821802913,37.71632385253906,346375200,AAPL,-0.0433902490728378,0.0170915679505525,4.3358162076246645,-2.2360730923661936,0,AAPL,0.5,1.0,0.0,0.5
2018-02-05,37.387336929885954,38.51060165666252,36.658858185507825,36.77400588989258,290954000,AAPL,-0.024984353361974,0.017732489176531,3.330594461697939,-1.313686367038171,0,AAPL,0.5,1.0,0.0,0.5
2018-02-06,36.38391663016176,38.47300138641009,36.18887227786028,38.31085586547851,272975200,AAPL,0.0417917476868718,0.0270644892877395,3.004497575927378,2.0327081874123065,0,AAPL,0.5,1.0,0.0,0.5
2018-02-07,38.32495890960423,38.397806073513465,37.38029082924668,37.4907341003418,206434400,AAPL,-0.0214070332444782,0.0271259460606154,1.797590126226523,-1.1344137774037852,0,AAPL,0.5,1.0,0.0,0.5
2018-02-08,37.66698422861595,37.83383064956318,36.430923723092576,36.45912170410156,217562000,AAPL,-0.027516462960666,0.0281885790509561,1.9994209328487944,-1.440579636325284,0,AAPL,0.5,1.0,0.0,0.5
2018-02-09,37.06078818257288,37.25426593663926,35.44924403446056,36.905059814453125,282690400,AAPL,0.0122311808268655,0.0291206476627985,3.1807104747102866,0.551320109746098,0,AAPL,0.5,1.0,0.0,0.5
2018-02-12,37.39819391405882,38.66996831387416,37.16460137519868,38.39154815673828,243278000,AAPL,0.0402787138066906,0.0345575053002394,2.465854038199304,1.9568845280819456,0,AAPL,0.5,1.0,0.0,0.5
2018-02-13,38.21222377865812,38.872886607993586,38.14143783260026,38.776145935058594,130196800,AAPL,0.0100177720562386,0.0297948370702761,0.4148035142934848,0.4403981041114657,0,AAPL,0.5,1.0,0.0,0.5
2018-02-14,38.469402771500995,39.53118098298525,38.43165339355974,39.49106979370117,162579600,AAPL,0.0184372077575711,0.0270661795122813,1.0021580781426247,0.8623268082428376,0,AAPL,0.5,1.0,2.0,0.5
2018-02-15,40.062081842285394,40.840720145877995,39.87568230794668,40.8171272277832,204588800,AAPL,0.0335786657846766,0.025625719844423,1.7641148991603035,1.6211206265773654,0,AAPL,0.5,1.0,0.0,0.5
2018-02-16,40.66847906045923,41.248919598735064,40.529268955862534,40.68499374389648,160704400,AAPL,-0.0032372068506767,0.0227466546891046,0.968145970538282,-0.2238573486142258,0,AAPL,0.5,1.0,0.0,0.5
2018-02-20,40.595330913677635,41.11678010195988,40.44668077568657,40.54814147949219,135722000,AAPL,-0.0033637037101627,0.0168179857289868,0.5150187963623383,-0.2301965687107878,0,AAPL,0.5,1.0,0.0,0.5
2018-02-21,40.77938119188139,41.0837561695638,40.349948965647414,40.36410903930664,149886400,AAPL,-0.0045386159135955,0.0184620470623978,0.7719306441390826,-0.2890757146592601,0,AAPL,0.5,1.0,0.0,0.5
2018-02-22,40.53633515203061,41.04362776911197,40.515100450922425,40.70149993896485,123967600,AAPL,0.00835868566626,0.0140149767705808,0.3018191815881887,0.3572552195527215,0,AAPL,0.5,1.0,0.0,0.5
2018-02-23,40.977572424114385,41.44475397061122,40.946897669942075,41.40936279296875,135249600,AAPL,0.01739156677433,0.0144223611778714,0.506450473179589,0.8099259157488488,0,AAPL,0.5,1.0,0.0,0.5
